Size,Bedrooms,Bathrooms,Location,Price
1471,1,1,Suburbs,236146.05564681676
2406,4,2,City Centre,379714.18733849603
1666,2,1,City Centre,267883.3207592013
1615,4,2,Rural Area,313291.569932342
1333,5,3,Suburbs,301834.4166632581
2323,1,1,Suburbs,339164.6106972704
2482,1,3,City Centre,355667.4674429637
1353,1,1,Suburbs,219531.31036823936
550,3,2,Suburbs,208936.28058878027
1074,4,1,Suburbs,259435.69604978708
1648,3,3,Suburbs,321344.05034961965
2697,2,1,Rural Area,369939.1034993378
2861,5,3,Rural Area,495663.82703526213
2852,3,3,Rural Area,440055.63225274713
2215,3,2,Rural Area,364383.6889810103
1181,5,1,Rural Area,305357.586688919
1337,1,3,Suburbs,272090.50256199023
1577,5,2,City Centre,343074.41581943916
2991,4,2,City Centre,461192.21871317975
2811,5,2,Rural Area,474216.388722055
2095,1,3,Suburbs,319466.87756791984
504,5,1,Rural Area,210419.34934972957
1626,3,3,City Centre,316346.2953652813
1719,2,2,Suburbs,271530.76767730433
1273,3,3,Suburbs,329547.67999527184
1376,2,3,Suburbs,264606.0078797817
1491,5,2,City Centre,338452.62550565373
546,4,1,City Centre,199261.383665216
768,5,2,Rural Area,270559.0607684595
869,1,2,Rural Area,179218.78171037644
1135,5,3,City Centre,312836.19861049106
1629,2,2,Rural Area,265895.6227633317
2193,3,3,City Centre,398584.0019472414
2182,4,2,Suburbs,391431.1949176293
1156,5,2,Rural Area,267272.6955991367
619,5,1,City Centre,227182.7562050279
1330,3,2,City Centre,245190.43911718554
2310,4,1,City Centre,360010.08111897315
1581,5,2,Rural Area,356519.69657781324
2474,5,2,Rural Area,377679.0791157432
1869,2,2,Suburbs,327805.1868127483
1240,2,1,Rural Area,236575.92452313303
616,1,3,Rural Area,174997.6204327515
2353,3,1,Rural Area,377857.849303386
1650,4,2,Suburbs,379056.0566056792
2431,5,3,Suburbs,411515.42187460087
1512,5,2,Suburbs,365070.26013024134
2164,1,1,Rural Area,320728.1453457839
1581,5,1,City Centre,309004.2706016216
1133,3,3,Rural Area,278795.76794178755
1012,1,1,Suburbs,163957.50113545323
1619,3,2,Rural Area,292047.77563788544
1641,1,3,Rural Area,236999.25287500836
1059,5,2,City Centre,258928.4601179275
987,1,3,City Centre,221333.9656302227
1396,2,3,Rural Area,284004.45012069563
1712,4,2,Suburbs,340383.03359993384
1203,5,1,Rural Area,298023.5945126736
1970,4,2,Rural Area,359369.0479721732
1080,5,1,Rural Area,286567.10445703316
2794,4,1,Suburbs,445861.94159340934
653,2,2,Suburbs,190228.09302117894
2179,4,3,Suburbs,384212.48473051627
1496,1,2,Suburbs,246692.34623391932
1743,4,3,Suburbs,332575.02189468814
1592,5,1,Rural Area,341227.88005633996
1508,3,3,Suburbs,273690.9725915143
2641,4,2,Rural Area,420912.82750056376
2273,4,3,Rural Area,413682.7096140118
1457,4,1,Rural Area,270298.4264876004
952,5,1,City Centre,232240.0015402037
1727,4,3,Suburbs,302107.23190100497
2765,5,1,Suburbs,435813.4545191933
2979,5,1,Rural Area,440029.8049057932
2888,3,3,City Centre,461335.0037392693
1050,1,1,Suburbs,158968.75212088425
2135,5,3,Rural Area,419073.4866992862
1812,2,3,City Centre,290159.2117103127
2257,4,1,Rural Area,340437.9306340959
856,2,3,City Centre,196530.04168815416
2570,4,1,Rural Area,423506.67033404467
2285,3,1,Suburbs,329443.4774571134
2281,5,1,Rural Area,415938.4533690023
2989,1,2,Rural Area,402953.03352576715
2131,5,1,City Centre,367732.50073594385
1515,4,3,City Centre,305454.64246658614
1848,1,3,Suburbs,337888.6266629735
1015,5,3,Rural Area,284732.97701456374
835,1,2,City Centre,171816.32993549196
2282,4,2,Suburbs,417223.32569766184
2805,3,3,Suburbs,468068.09579726844
996,3,3,City Centre,251801.0632671752
1395,5,2,City Centre,343184.6990026966
2707,2,3,Rural Area,393449.35169075197
1351,4,1,Suburbs,325039.4481695241
2187,5,1,City Centre,357474.6550071081
2431,5,3,Suburbs,419818.576042837
2927,3,1,Rural Area,443954.7720374088
2068,1,3,City Centre,316014.6272491659
1456,4,2,Suburbs,333043.2702962211
2136,1,3,City Centre,319276.14512557583
1791,4,2,Rural Area,352285.27218089416
1940,2,1,Rural Area,285140.16178797785
1691,3,1,Rural Area,292585.1338778518
1566,2,1,Rural Area,235989.99123705082
784,5,3,City Centre,272442.79154455836
2944,3,2,City Centre,416843.68925956526
511,5,2,Suburbs,272551.0156001955
2130,2,1,Suburbs,311586.19137929636
1253,4,1,City Centre,246346.81258526258
2582,5,2,City Centre,452036.8306326203
589,1,3,Suburbs,149742.32052813217
1275,4,1,City Centre,290039.60015374585
2125,4,3,Rural Area,376341.89529691206
917,2,1,Rural Area,195945.61074223035
614,2,1,Rural Area,162605.193827121
1116,3,3,Suburbs,261524.830788424
1325,3,3,City Centre,288744.68670930277
2149,1,3,Suburbs,316635.58284566534
2016,4,3,Suburbs,354759.7481816187
912,1,2,City Centre,191976.77546240826
1228,1,2,Suburbs,214845.11008336185
1175,2,1,Rural Area,196920.7724907611
2392,1,1,City Centre,336485.45200638776
2739,1,1,Rural Area,358573.1247874308
1622,5,2,Rural Area,320466.3958149507
2071,3,3,City Centre,357345.62180466467
1477,3,1,Rural Area,269809.0183080564
1508,4,2,Rural Area,290184.3374211285
2643,3,1,Rural Area,452548.3456987113
2187,4,2,City Centre,378544.22979803546
536,5,3,City Centre,244201.61204754855
2048,3,2,City Centre,393537.6408083086
2826,5,3,Suburbs,486731.7123133411
2764,3,1,Rural Area,425574.8882713417
1372,3,3,Suburbs,294085.9738257565
2321,5,2,Suburbs,413384.68727673957
1796,1,1,Rural Area,247493.95872327994
2609,1,1,City Centre,359277.72183398105
1095,1,2,Suburbs,246473.87414595785
2403,1,3,City Centre,386842.069148232
1228,3,2,City Centre,238588.23634025131
1865,2,3,Rural Area,358691.223787621
896,5,3,Suburbs,268052.4786809442
1198,2,1,Suburbs,205987.540145041
2724,2,3,City Centre,389682.73688499193
2135,4,1,Rural Area,350679.47343698144
895,1,2,Suburbs,150846.50532385302
2992,3,2,City Centre,440254.88368476176
575,1,1,City Centre,137308.82104323906
764,1,1,City Centre,162230.36478588512
2319,2,3,Rural Area,356980.0114354187
1217,4,1,Rural Area,234860.10027414246
1350,1,2,City Centre,229791.51225944536
1890,5,1,City Centre,378408.0813439186
643,5,1,Rural Area,209096.55792211226
1384,1,1,City Centre,205854.1623092454
895,2,3,City Centre,233597.5800864888
1992,2,1,Rural Area,279439.52398740983
1667,3,3,City Centre,326216.2375561156
1562,4,3,City Centre,340080.82875587244
2656,2,1,City Centre,359339.5343993767
1565,3,3,Rural Area,296505.0269466534
1709,5,1,Rural Area,307719.03560233756
2945,5,2,Rural Area,458678.7659178449
1133,5,2,Suburbs,304655.3579736635
1656,1,3,Suburbs,297365.109571394
1738,4,2,Suburbs,335073.45523980586
1232,3,1,Suburbs,235910.94147445745
734,4,3,Rural Area,249866.19688933282
1250,1,1,City Centre,193633.528297638
1453,3,3,Rural Area,303881.8960216885
2042,3,3,Suburbs,374137.2419323999
1697,2,3,Rural Area,295392.90778511734
2176,4,3,City Centre,376538.0832552904
1691,4,2,Suburbs,319345.6462374805
2717,2,2,City Centre,413450.22215204185
1916,5,2,City Centre,427426.59903790586
1717,1,3,City Centre,299671.67140767793
2040,4,2,Suburbs,362536.8573726392
2576,2,3,Rural Area,373129.80064009904
1945,3,2,Suburbs,313788.64345487935
2886,2,3,Suburbs,432153.08009935054
2019,5,2,Rural Area,366303.96446064685
1888,1,2,Rural Area,309249.6818779168
2356,5,2,Rural Area,403533.75849201495
1865,3,3,Rural Area,369961.2798362308
999,3,3,City Centre,246713.44416917372
2180,3,2,Suburbs,380668.8132673182
1010,3,3,Suburbs,269460.35855155665
716,2,1,Suburbs,193538.66935718013
1824,3,2,Rural Area,321029.3295407627
1655,3,2,Suburbs,292215.5425775976
2327,2,1,City Centre,357890.1001636755
2310,3,3,Suburbs,421862.8257170882
2992,5,3,Suburbs,474152.5549994877
1705,5,3,City Centre,375010.9818174903
2714,4,2,City Centre,440835.08052756905
590,5,2,Suburbs,242316.0527450159
1213,1,2,Rural Area,249922.55940993023
2381,1,2,Rural Area,322588.97578121885
538,1,2,Suburbs,175767.30579573152
672,2,3,Suburbs,196652.85731496313
1152,5,1,Suburbs,233470.73311515417
1253,1,3,Suburbs,211150.96057658832
1743,4,3,Rural Area,350013.7992348904
1581,2,2,Suburbs,302501.645537051
2183,4,1,City Centre,384926.3934340821
955,5,1,Rural Area,262607.4231842206
1328,3,3,Rural Area,264894.0788997055
1394,4,1,City Centre,260248.02910029644
1884,3,3,Suburbs,351810.6504538854
2458,2,3,Suburbs,379954.5237066037
2934,4,3,Suburbs,487819.219794786
2496,4,3,Suburbs,417958.5349850758
2895,2,2,Suburbs,394060.8896124955
689,2,1,City Centre,168335.93071979418
1004,1,2,Suburbs,200138.30329311997
1714,5,2,City Centre,310745.23538464133
2031,4,2,City Centre,372558.6149191648
1323,4,3,City Centre,310154.020577076
1428,2,3,Suburbs,296740.6330866609
1433,2,2,Suburbs,278900.07324852335
1640,5,2,Rural Area,365665.86298021907
633,2,1,Rural Area,201913.96623681943
2605,3,2,City Centre,403291.1858933079
1184,3,3,Rural Area,229267.02284375834
2720,3,2,City Centre,429224.83080972446
2352,3,1,Rural Area,384182.8022121636
1314,5,1,Suburbs,291851.77573884843
1672,4,2,Suburbs,286869.0485155298
579,3,1,City Centre,203697.08798633533
702,2,1,City Centre,174813.09791579546
1752,3,3,Suburbs,303508.09345223533
2199,5,1,Suburbs,379550.75745571166
1750,2,1,Suburbs,279901.7638796889
2182,3,2,Rural Area,352844.097131253
2055,4,3,Rural Area,370389.85700781364
2594,2,1,Rural Area,383438.8863291269
1756,2,2,Rural Area,322622.91015046276
2049,4,2,City Centre,403538.6278884391
1666,2,2,City Centre,266525.48404313653
1896,3,2,Rural Area,355615.6161485731
970,2,2,City Centre,220817.95754575462
1535,3,2,Rural Area,301015.80019144894
1853,4,1,Rural Area,354588.1737406343
1467,1,3,Suburbs,260702.09783450913
857,4,3,Rural Area,257049.55999562988
1167,3,2,City Centre,242829.35717342835
872,5,2,Rural Area,243867.42660142778
1531,4,3,Suburbs,315451.57941941306
1645,5,1,City Centre,332921.9987459301
1871,5,2,Suburbs,366094.1648815532
589,3,3,Rural Area,206287.6457681178
1039,3,3,Rural Area,251904.84655383872
1368,1,2,Rural Area,257826.874705235
540,2,3,Rural Area,192512.68689470633
1239,4,1,City Centre,249032.37734831448
2446,3,3,Rural Area,400758.01607832976
1724,4,2,Suburbs,344721.9261724181
1428,5,2,City Centre,341928.8900814801
2536,2,3,City Centre,399882.7925197186
1424,1,3,City Centre,274370.6691999579
2081,4,2,Suburbs,378221.1907006345
889,2,1,Suburbs,153762.38994255633
2117,1,3,Suburbs,323494.34971195407
755,4,1,Suburbs,218694.83103567245
1208,2,1,Rural Area,266587.2670989212
2338,3,2,Rural Area,388987.5430358572
2444,4,2,Suburbs,398581.0568194035
2997,2,2,Suburbs,404245.9147780922
509,1,1,Rural Area,129019.15658595783
1297,2,2,Rural Area,233532.12511992326
1376,3,2,Suburbs,321196.8713575617
1528,4,1,City Centre,297494.62991788797
1515,4,1,City Centre,312996.6019675314
2324,4,1,Suburbs,387706.72385332256
873,3,1,City Centre,225446.68714108435
2693,1,3,Rural Area,366687.0792383801
723,4,2,City Centre,259045.47177906125
1762,1,3,Suburbs,289433.58726110414
2724,2,1,City Centre,407408.0230963371
2302,1,1,City Centre,323713.3720239217
1352,1,1,City Centre,255279.60250159266
562,4,1,Rural Area,213206.35407712156
1740,5,1,Rural Area,335287.7727872877
1188,5,2,Rural Area,326912.4908804257
1984,3,3,Suburbs,356166.20597048564
2133,3,3,City Centre,379061.67543599056
2652,5,2,Rural Area,446985.0466443436
1010,2,2,Rural Area,210181.27586675886
884,4,2,City Centre,245211.54597103476
904,4,3,Suburbs,279633.0142087204
1017,2,3,City Centre,256143.32219006395
975,2,1,Suburbs,162107.28658886283
2500,5,3,City Centre,451406.29211996164
2168,3,3,Rural Area,370241.9843943505
2393,2,2,Rural Area,331897.1013719387
1960,3,3,Rural Area,368150.2223531018
1213,1,1,Suburbs,242432.84499612238
582,4,3,City Centre,262833.4445479558
1668,5,2,Suburbs,300134.2379285666
2401,4,2,Rural Area,406590.5910659374
2548,5,1,Suburbs,406806.7255041646
550,1,1,Suburbs,131035.39804731729
1184,4,3,Suburbs,288356.3964852627
1216,1,1,City Centre,162147.18137601455
1969,5,1,Suburbs,320735.6694937372
948,2,2,Suburbs,216503.9082880411
1380,4,2,Suburbs,302954.0456765021
987,1,3,Rural Area,209792.5254839971
2323,4,3,Rural Area,382325.5582152458
2581,4,3,City Centre,425018.73341434187
2642,4,3,Rural Area,468108.80236708076
2074,3,2,City Centre,340144.7485691189
2701,1,3,Rural Area,375044.0780124646
749,1,3,City Centre,214637.38363220257
1173,4,1,City Centre,257985.07788666856
937,2,3,City Centre,242308.66184988205
2665,4,1,Rural Area,420717.06157444883
1270,3,2,Suburbs,249155.05136347332
767,5,3,Rural Area,251885.89427636433
2484,3,1,Suburbs,346441.80255261896
1577,2,3,Rural Area,272506.1515170347
735,4,1,Suburbs,235039.82324988866
888,1,3,Rural Area,187364.0073469235
1262,4,2,City Centre,283441.8121470933
2348,2,2,City Centre,349166.8807272038
2948,1,1,City Centre,387391.925281953
1123,3,1,Suburbs,210005.37915412104
1752,5,2,Suburbs,377161.0346342444
1077,5,3,City Centre,331424.0203319652
2622,4,1,Suburbs,406696.92599213694
934,3,2,City Centre,188607.60167134838
2650,2,1,Rural Area,352818.11344174057
1263,5,2,Suburbs,312620.21170823433
1829,3,2,Suburbs,330342.9285205442
2645,4,1,Rural Area,404344.4473375025
1858,1,1,Suburbs,292812.332346683
2982,4,2,Suburbs,446675.2095254218
946,4,3,Suburbs,289282.13557630713
2517,3,2,Rural Area,391720.08885629755
1831,5,3,City Centre,366778.3003230251
748,3,3,City Centre,244431.39163399316
665,1,3,Rural Area,180621.73418913502
1858,3,1,Rural Area,328549.49271076
1519,2,2,Rural Area,330027.4317594726
1041,4,2,City Centre,245420.22740089838
1258,5,3,Rural Area,338415.82738658105
2628,1,3,City Centre,390559.02778658934
2680,4,3,Rural Area,478586.2073735248
